a,b,c,d,e,f,g,h,i,j,k,l
1,230.772,85.896,99.6616,6,107.174,0,-5.58463,-5.49735,-5.58463,-4.37209,-8.61626
1,231.336,85.5055,106.541,6,104.255,0,-4.41328,-5.01034,-4.41328,-3.13583,-9.57594
1,230.468,82.1785,112.019,5,107.197,0,-4.22886,-4.56727,-4.22886,-4.36732,-9.92303
1,228.923,83.57,117,4,104.231,0,-3.10338,-3.915,-3.10338,-3.92718,-8.74249
1,231.273,88.8442,94.1255,4,110.419,0,-3.26012,-5.83979,-3.26012,-4.63313,-12.8352
1,230.622,90.7384,98.9935,4,108.047,0,-3.54371,-4.65938,-3.54371,-6.04949,-10.5756
1,231.838,90.5131,105.218,5,105.598,0,-5.59165,-3.72249,-5.59165,-5.36137,-12.3547
1,230.673,87.427,111.719,4,109.056,0,-4.11163,-5.90218,-4.11163,-4.19445,-10.6372
1,228.99,87.8396,117.279,4,108.218,0,-3.56952,-3.76248,-3.56952,-3.25931,-7.0736
1,231.28,92.9704,93.9456,6,105.328,0,-4.47445,-4.80504,-4.47445,-4.00962,-8.88612
1,230.583,95.3172,99.5436,4,105.922,0,-5.8314,-6.80725,-5.8314,-6.10073,-10.567
1,231.546,97.9996,104.603,5,106.842,0,-4.79697,-5.76514,-4.79697,-4.37824,-9.83176
1,229.934,93.4427,111.633,5,106.43,0,-4.76657,-5.42567,-4.76657,-4.56852,-10.1493
1,228.5,92.1224,117.028,5,105.644,0,-2.993,-3.88388,-2.993,-3.1447,-8.14909
1,231.899,99.846,94.6675,4,109.791,0,-2.85931,-6.17318,-2.85931,-3.86451,-9.70972
1,230.318,100.083,100.053,5,107.023,0,-4.56418,-4.90966,-4.56418,-3.7727,-10.8285
1,230.013,102.17,105.863,6,105.443,0,-3.69576,-5.37057,-3.69576,-3.37046,-7.094
1,228.376,99.8298,111.416,4,109.537,0,-4.30967,-5.97978,-4.30967,-4.61389,-8.99708
1,228.877,97.2666,117.876,5,106.69,0,-3.00535,-3.51629,-3.00535,-1.44421,-4.62493
1,231.503,103.199,93.7145,4,109.04,0,-3.70315,-5.18957,-3.70315,-3.79607,-7.08534
1,230.283,105.179,99.3206,5,107.361,0,-4.52558,-6.54752,-4.52558,-3.02854,-9.67511
1,231.392,106.957,104.383,5,107.273,0,-4.58256,-3.03058,-4.58256,-3.15904,-9.23875
1,229.485,104.284,112.037,5,106.483,0,-5.61758,-5.2244,-5.61758,-3.21284,-7.8982
1,228.413,101.415,118.529,3,102.301,0,-2.45848,-2.91887,-2.45848,-1.99614,-5.6148
1,235.205,10.117,94.8105,6,105.728,0,-4.79313,-6.27279,-4.79313,-2.62822,-10.0369
1,234.249,12.6232,100.115,5,107.185,0,-4.53692,-6.88225,-4.53692,-3.2839,-10.4782
1,233.593,9.841,105.866,5,105.365,0,-3.28527,-5.77863,-3.28527,-5.36896,-9.64309
1,233.161,10.0033,111.379,5,107.143,0,-4.13258,-5.99948,-4.13258,-3.92675,-12.2987
1,232.36,10.323,117.065,4,108.871,0,-1.77012,-3.17997,-1.77012,-4.2949,-6.53126
1,236.466,15.1402,92.9916,5,107.199,0,-3.63258,-4.0416,-3.63258,-4.44596,-7.48928
1,233.755,17.4366,99.5735,4,108.084,0,-3.49138,-7.28645,-3.49138,-5.23138,-9.79796
1,234.271,15.3882,105.947,5,106.457,0,-4.84221,-5.26903,-4.84221,-6.41018,-9.545
1,232.9,14.2487,110.712,5,107.084,0,-3.43584,-7.01365,-3.43584,-4.45988,-10.8877
1,232.394,15.2606,117.078,4,105.242,0,-2.70491,-3.88393,-2.70491,-2.25478,-5.82708
1,237.128,19.9037,94.0115,4,106.969,0,-3.7212,-6.26802,-3.7212,-2.93713,-9.22071
1,234.622,22.1932,101.039,4,109.024,0,-4.32764,-3.50935,-4.32764,-4.4324,-11.7861
1,234.969,22.1915,106.584,5,106.711,0,-3.79009,-4.92536,-3.79009,-3.77497,-10.3084
1,234.338,19.6836,111.139,5,106.792,0,-3.88574,-2.89785,-3.88574,-4.80039,-10.6175
